"model_id","location","Energy Score","Brier Score Point","Brier Score Dist","Interval Coverage 50","Interval Coverage 90","n"
"CADPH-CATaLog","CA",NA,0.300148539794307,NA,NA,NA,2283
"CADPH-CATaMaran","CA",NA,0.246829504404916,NA,NA,NA,721
"Hub-baseline","AK",0.618346742360863,0.348702859276936,0.359949297482279,0.95182841068917,0.979254571026723,311
"Hub-baseline","AL",0.645719383391544,0.398639875371134,0.406615030725922,0.967060508413892,0.98890082348729,155
"Hub-baseline","AR",0.481409691274355,0.336650720755336,0.34258029087736,0.988376188798873,0.996477632969355,79
"Hub-baseline","AZ",0.891180539768444,0.293190169572284,0.30218027671795,0.612929962702031,0.870700372979693,1804
"Hub-baseline","CA",4.88782851849525,0.32528420627223,0.334593875115175,0.164036544850498,0.449750830564784,2405
"Hub-baseline","CO",2.38810971985069,0.299259036487729,0.309056800238759,0.352826510721248,0.673294346978558,2072
"Hub-baseline","CT",0.749460017079296,0.279708996475088,0.287490757217138,0.629378127233738,0.880986418870622,2217
"Hub-baseline","DC",0.532828686811063,0.288970658919379,0.293027387986807,0.910618519842689,0.980693600286021,598
"Hub-baseline","DE",1.04621502528154,0.329710250481163,0.335940377711194,0.816510172143975,0.937793427230047,751
"Hub-baseline","FL",0.759520946344704,0.331466766505102,0.341025144539263,0.818918918918919,0.933590733590734,825
"Hub-baseline","GA",0.700195549302483,0.37986968673579,0.386777003382241,0.926085396483674,0.984571223537854,436
"Hub-baseline","HI",NA,NA,NA,1,1,0
"Hub-baseline","IA",0.786123804069475,0.279367087966599,0.28763226172917,0.841407867494824,0.946169772256729,757
"Hub-baseline","ID",0.131404205677249,0.0890802522623849,0.0985316987412706,1,1,6
"Hub-baseline","IL",1.21128247857029,0.272285526980954,0.281849623530434,0.421765734265734,0.787587412587413,2105
"Hub-baseline","IN",0.536937523982198,0.339142843765019,0.346311530154508,0.978669558929863,0.99530007230658,140
"Hub-baseline","KS",0.595797874121671,0.422081896141283,0.432458435447705,0.991578947368421,0.997894736842105,41
"Hub-baseline","KY",0.469421795636857,0.306256882266999,0.310526059559446,0.996466431095406,0.999293286219081,30
"Hub-baseline","LA",1.11662781193285,0.368696812538103,0.37606607701134,0.789944134078212,0.900186219739292,837
"Hub-baseline","MA",0.837613654782826,0.310644051829969,0.318471235632483,0.794530953285226,0.940372199012533,945
"Hub-baseline","MD",0.952289946846156,0.284202002146799,0.294708407078327,0.578366445916115,0.855187637969095,1695
"Hub-baseline","ME",0.821796875244062,0.574320737327198,0.584602181350648,0.998948475289169,1,3
"Hub-baseline","MI",0.977073517858963,0.300722829214326,0.308417381218753,0.58695652173913,0.843630816170862,1902
"Hub-baseline","MN",2.27766124515613,0.323024891338531,0.331938313828281,0.214442013129103,0.600437636761488,2243
"Hub-baseline","MO",0.538270265681093,0.328445927524024,0.334936931165818,0.949402670414617,0.981377371749824,319
"Hub-baseline","MS",0.646826245123805,0.361299946362524,0.369301726683629,0.973749556580348,0.995033699893579,152
"Hub-baseline","MT",0.658313787160686,0.413336190572897,0.417674817836052,0.975122634898388,0.991240364400841,123
"Hub-baseline","NC",0.782217300851334,0.362167362772421,0.369597354064562,0.872224386443319,0.959096221269965,535
"Hub-baseline","ND",0.457543847329647,0.310268603246435,0.317682055011029,0.966220971147079,0.992258972554539,253
"Hub-baseline","NE",0.434722629695324,0.300979603892574,0.320307032234237,0.997195934104452,1,18
"Hub-baseline","NH",0.623435665996316,0.332221680718947,0.340949621617835,0.955008787346221,0.984534270650264,298
"Hub-baseline","NJ",1.46516983051422,0.286610241712527,0.296081352974934,0.493449781659389,0.790829694323144,1936
"Hub-baseline","NM",1.03572127655925,0.312667501572271,0.31841798816357,0.589950808151792,0.820449754040759,2021
"Hub-baseline","NV",0.687436043584427,0.3099842657929,0.325166655963457,0.983208288674527,0.994283672740264,97
"Hub-baseline","NY",2.91161944386338,0.341007113181945,0.351359618072705,0.436354631005448,0.67211490837048,1419
"Hub-baseline","OH",0.632401007715743,0.348859997337333,0.356351447392146,0.926208651399491,0.980370774263904,413
"Hub-baseline","OK",0.511358293842102,0.303544700368962,0.307415139676593,0.956905687036383,0.993641822677499,300
"Hub-baseline","OR",0.831804512779901,0.314442309697249,0.323804208042633,0.630042258932001,0.851709565885517,1791
"Hub-baseline","PA",1.24609399618134,0.327669026435304,0.334958730338414,0.76461038961039,0.909090909090909,833
"Hub-baseline","PR",1.05550019016931,0.319350540002938,0.33079766515419,0.651509212073697,0.869854958839671,1494
"Hub-baseline","RI",0.675983083644465,0.294575383153267,0.302889704323883,0.904945633111189,0.979305506839705,615
"Hub-baseline","SC",0.694905696891845,0.297437982322842,0.301988302020903,0.91834451901566,0.975764354958986,511
"Hub-baseline","SD",0.751184731566534,0.323112278314925,0.327737685784436,0.789891696750903,0.94115523465704,1083
"Hub-baseline","TN",0.803676281670524,0.332740703403262,0.340753539558721,0.875180897250362,0.958393632416787,596
"Hub-baseline","TX",0.686468533366218,0.33522180500692,0.340857239837097,0.855543517515349,0.949801372336584,790
"Hub-baseline","UT",0.899504246606319,0.272331557720666,0.281494062199055,0.791161796151105,0.9215965787598,1259
"Hub-baseline","VA",1.23086642098812,0.363996516489243,0.371721725389929,0.643478260869565,0.835610766045549,1228
"Hub-baseline","VT",0.829174238595345,0.371809380193338,0.382611536380473,0.722635889798958,0.909903201787044,1260
